n,average_build_time,average_destroy_time,average_height
10,0.782,0.494,5.86
25,2.084,1.308,8.54
50,4.134,2.456,10.66
75,7.808,4.512,12.38
100,11.52,5.706,13.24
200,24.168,12.186,16.12
300,45.632,19.952,17.52
400,89.596,39.746,18.22
500,77.892,33.56,19.76
600,70.334,30.656,20.48
700,89.694,38.9,20.4
800,99.016,42.576,20.8
900,117.294,51.106,22.28
1000,143.246,60.658,22.1
2000,261.414,111.156,25.12
3000,406.42,163.998,26.8
4000,583.44,231.354,27.4
5000,789.804,300.006,28.6
6000,901.056,343.49,29.06
7000,1075.72,405.378,30
8000,1589.35,521.908,30.1
9000,1792.54,607.992,30.54
10000,1943.05,669.752,30.9
20000,4718.61,1382.64,33.6
30000,6871.27,2131.39,35.22
40000,11551.9,3155.82,36.58
50000,15222.5,4413.28,38
60000,16768.9,4686.2,38.66
70000,20123.4,5555.55,39.12
80000,21744,5993.73,40.04
90000,25058.9,7189.3,39.9
100000,38539.9,10967.4,40.4
